,t0_smooth_or_featured__features_or_disk,t0_smooth_or_featured__smooth,t0_smooth_or_featured__star_artifact_or_bad_zoom,t1_how_rounded_is_it__cigarshaped,t1_how_rounded_is_it__in_between,t1_how_rounded_is_it__completely_round,t2_could_this_be_a_disk_viewed_edgeon__yes_edge_on_disk,t2_could_this_be_a_disk_viewed_edgeon__no_something_else,t3_edge_on_bulge_what_shape__boxy,t3_edge_on_bulge_what_shape__no_bulge,t3_edge_on_bulge_what_shape__rounded,t4_is_there_a_bar__no_bar,t4_is_there_a_bar__strong_bar,t4_is_there_a_bar__weak_bar,t5_is_there_any_spiral_arm_pattern__yes,t5_is_there_any_spiral_arm_pattern__no,t6_spiral_how_tightly_wound__loose,t6_spiral_how_tightly_wound__medium,t6_spiral_how_tightly_wound__tight,t7_how_many_spiral_arms_are_there__1,t7_how_many_spiral_arms_are_there__2,t7_how_many_spiral_arms_are_there__3,t7_how_many_spiral_arms_are_there__4,t7_how_many_spiral_arms_are_there__more_than_4,t7_how_many_spiral_arms_are_there__cant_tell,t8_not_edge_on_bulge__dominant,t8_not_edge_on_bulge__moderate,t8_not_edge_on_bulge__no_bulge,t8_not_edge_on_bulge__large,t8_not_edge_on_bulge__small,t11_is_the_galaxy_merging_or_disturbed__major_disturbance,t11_is_the_galaxy_merging_or_disturbed__merging,t11_is_the_galaxy_merging_or_disturbed__minor_disturbance,t11_is_the_galaxy_merging_or_disturbed__none,t12_are_there_any_obvious_bright_clumps__yes,t12_are_there_any_obvious_bright_clumps__no,t19_what_problem_do___e_with_the_image__nonstar_artifact,t19_what_problem_do___e_with_the_image__bad_image_zoom,t19_what_problem_do___e_with_the_image__star,id_str,file_loc
58,12.0,9.0,7.0,7.0,1.0,1.0,7.0,5.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,6.0,9.0,8.0,4.0,0.0,7.0,0.0,279,/scratch/ydong/stamps/demo_F200W/F200W_279.jpg
68,2.0,12.0,15.0,0.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,7.0,0.0,2.0,1.0,11.0,3.0,487,/scratch/ydong/stamps/demo_F200W/F200W_487.jpg
74,9.0,19.0,9.0,12.0,2.0,5.0,2.0,7.0,1.0,0.0,1.0,5.0,1.0,1.0,3.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,7.0,19.0,1.0,8.0,1.0,8.0,0.0,720,/scratch/ydong/stamps/demo_F200W/F200W_720.jpg
85,3.0,4.0,16.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,4.0,11.0,1164,/scratch/ydong/stamps/demo_F200W/F200W_1164.jpg
86,7.0,21.0,8.0,6.0,12.0,3.0,1.0,6.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,5.0,8.0,12.0,3.0,4.0,1.0,7.0,0.0,1179,/scratch/ydong/stamps/demo_F200W/F200W_1179.jpg
87,5.0,12.0,10.0,1.0,9.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,10.0,2.0,3.0,1.0,9.0,0.0,1241,/scratch/ydong/stamps/demo_F200W/F200W_1241.jpg
94,6.0,14.0,16.0,3.0,9.0,2.0,0.0,6.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,2.0,5.0,10.0,3.0,3.0,2.0,13.0,1.0,1397,/scratch/ydong/stamps/demo_F200W/F200W_1397.jpg
109,8.0,18.0,1.0,3.0,15.0,0.0,3.0,5.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,8.0,15.0,1.0,7.0,0.0,1.0,0.0,1973,/scratch/ydong/stamps/demo_F200W/F200W_1973.jpg
115,7.0,13.0,9.0,5.0,7.0,1.0,7.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,16.0,2.0,5.0,1.0,7.0,1.0,2261,/scratch/ydong/stamps/demo_F200W/F200W_2261.jpg
119,4.0,9.0,14.0,2.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,9.0,3.0,2427,/scratch/ydong/stamps/demo_F200W/F200W_2427.jpg
122,12.0,11.0,4.0,2.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,5.0,7.0,6.0,5.0,5.0,11.0,1.0,1.0,1.0,2.0,2629,/scratch/ydong/stamps/demo_F200W/F200W_2629.jpg
131,24.0,8.0,3.0,6.0,2.0,0.0,21.0,3.0,3.0,1.0,17.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,6.0,21.0,4.0,20.0,1.0,2.0,0.0,337,/scratch/ydong/stamps/demo_F200W/F200W_337.jpg
141,7.0,14.0,12.0,1.0,13.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,15.0,2.0,5.0,1.0,9.0,2.0,363,/scratch/ydong/stamps/demo_F200W/F200W_363.jpg
152,1.0,10.0,23.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,1.0,0.0,21.0,2.0,770,/scratch/ydong/stamps/demo_F200W/F200W_770.jpg
169,7.0,9.0,17.0,1.0,5.0,3.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,3.0,5.0,2.0,6.0,5.0,2.0,3.0,13.0,1.0,1130,/scratch/ydong/stamps/demo_F200W/F200W_1130.jpg
170,5.0,15.0,6.0,8.0,6.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,5.0,8.0,1.0,4.0,0.0,6.0,0.0,1223,/scratch/ydong/stamps/demo_F200W/F200W_1223.jpg
189,6.0,4.0,14.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,1.0,3.0,3.0,3.0,0.0,14.0,0.0,1381,/scratch/ydong/stamps/demo_F200W/F200W_1381.jpg
194,9.0,10.0,7.0,7.0,3.0,0.0,8.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,10.0,0.0,9.0,0.0,6.0,1.0,1554,/scratch/ydong/stamps/demo_F200W/F200W_1554.jpg
205,3.0,13.0,12.0,5.0,7.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,4.0,1.0,2.0,2.0,10.0,0.0,1956,/scratch/ydong/stamps/demo_F200W/F200W_1956.jpg
206,6.0,9.0,10.0,2.0,6.0,1.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,8.0,1.0,1982,/scratch/ydong/stamps/demo_F200W/F200W_1982.jpg
220,11.0,14.0,5.0,0.0,12.0,2.0,5.0,6.0,1.0,2.0,2.0,6.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,7.0,6.0,4.0,8.0,7.0,4.0,0.0,5.0,0.0,2356,/scratch/ydong/stamps/demo_F200W/F200W_2356.jpg
228,7.0,11.0,3.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,8.0,6.0,7.0,0.0,1.0,2.0,0.0,5134,/scratch/ydong/stamps/demo_F200W/F200W_5134.jpg
243,6.0,18.0,8.0,3.0,11.0,4.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,13.0,4.0,4.0,4.0,2.0,1.0,6.0,1.0,5,/scratch/ydong/stamps/demo_F200W/F200W_5.jpg
244,4.0,11.0,6.0,0.0,9.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,6.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,6,/scratch/ydong/stamps/demo_F200W/F200W_6.jpg
245,3.0,14.0,14.0,7.0,7.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,9.0,0.0,3.0,1.0,13.0,0.0,4,/scratch/ydong/stamps/demo_F200W/F200W_4.jpg
247,15.0,6.0,8.0,1.0,2.0,3.0,0.0,15.0,0.0,0.0,0.0,13.0,0.0,2.0,2.0,13.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,2.0,5.0,4.0,5.0,7.0,11.0,4.0,0.0,7.0,1.0,10,/scratch/ydong/stamps/demo_F200W/F200W_10.jpg
248,1.0,24.0,5.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,0.0,1.0,0.0,5.0,0.0,11,/scratch/ydong/stamps/demo_F200W/F200W_11.jpg
250,10.0,16.0,6.0,5.0,11.0,0.0,8.0,2.0,0.0,1.0,7.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,8.0,11.0,2.0,8.0,0.0,6.0,0.0,12,/scratch/ydong/stamps/demo_F200W/F200W_12.jpg
251,14.0,11.0,0.0,1.0,10.0,0.0,5.0,9.0,1.0,0.0,4.0,7.0,1.0,1.0,2.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,1.0,5.0,2.0,4.0,14.0,7.0,7.0,0.0,0.0,0.0,13,/scratch/ydong/stamps/demo_F200W/F200W_13.jpg
254,2.0,14.0,18.0,1.0,12.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,13.0,0.0,2.0,2.0,15.0,1.0,15,/scratch/ydong/stamps/demo_F200W/F200W_15.jpg
256,8.0,9.0,11.0,0.0,8.0,1.0,1.0,7.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,13.0,0.0,8.0,2.0,9.0,0.0,164,/scratch/ydong/stamps/demo_F200W/F200W_164.jpg
258,4.0,23.0,2.0,0.0,21.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,12.0,1.0,3.0,1.0,1.0,0.0,17,/scratch/ydong/stamps/demo_F200W/F200W_17.jpg
259,27.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,16.0,3.0,8.0,26.0,1.0,0.0,2.0,24.0,1.0,9.0,14.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,24.0,6.0,0.0,10.0,11.0,8.0,19.0,0.0,1.0,0.0,30,/scratch/ydong/stamps/demo_F200W/F200W_30.jpg
262,8.0,14.0,3.0,0.0,14.0,0.0,1.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,6.0,16.0,1.0,7.0,0.0,2.0,1.0,36,/scratch/ydong/stamps/demo_F200W/F200W_36.jpg
265,6.0,12.0,9.0,11.0,1.0,0.0,6.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,5.0,1.0,1.0,8.0,0.0,370,/scratch/ydong/stamps/demo_F200W/F200W_370.jpg
267,2.0,6.0,20.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,19.0,0.0,40,/scratch/ydong/stamps/demo_F200W/F200W_40.jpg
271,4.0,9.0,6.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,4.0,4.0,0.0,0.0,6.0,0.0,46,/scratch/ydong/stamps/demo_F200W/F200W_46.jpg
272,16.0,18.0,4.0,10.0,8.0,0.0,5.0,11.0,0.0,1.0,4.0,3.0,5.0,3.0,6.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,4.0,8.0,2.0,14.0,10.0,8.0,8.0,0.0,3.0,1.0,44,/scratch/ydong/stamps/demo_F200W/F200W_44.jpg
273,7.0,7.0,13.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,3.0,2.0,6.0,3.0,4.0,1.0,8.0,4.0,60,/scratch/ydong/stamps/demo_F200W/F200W_60.jpg
274,6.0,10.0,14.0,8.0,2.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,5.0,0.0,6.0,1.0,12.0,1.0,45,/scratch/ydong/stamps/demo_F200W/F200W_45.jpg
275,22.0,2.0,3.0,0.0,2.0,0.0,1.0,21.0,0.0,0.0,1.0,16.0,1.0,4.0,19.0,2.0,1.0,5.0,13.0,0.0,1.0,3.0,6.0,5.0,4.0,0.0,14.0,0.0,1.0,6.0,3.0,0.0,5.0,16.0,14.0,8.0,0.0,3.0,0.0,37,/scratch/ydong/stamps/demo_F200W/F200W_37.jpg
279,24.0,0.0,2.0,0.0,0.0,0.0,2.0,22.0,0.0,1.0,1.0,9.0,3.0,10.0,22.0,0.0,2.0,9.0,11.0,0.0,8.0,5.0,2.0,0.0,7.0,0.0,5.0,0.0,0.0,17.0,3.0,0.0,8.0,13.0,14.0,10.0,0.0,2.0,0.0,59,/scratch/ydong/stamps/demo_F200W/F200W_59.jpg
280,10.0,10.0,7.0,8.0,2.0,0.0,3.0,7.0,0.0,3.0,0.0,0.0,6.0,1.0,6.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,14.0,2.0,0.0,4.0,7.0,3.0,2.0,5.0,0.0,57,/scratch/ydong/stamps/demo_F200W/F200W_57.jpg
281,10.0,11.0,9.0,7.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,1.0,6.0,3.0,7.0,3.0,6.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,8.0,3.0,3.0,7.0,8.0,2.0,2.0,7.0,0.0,88,/scratch/ydong/stamps/demo_F200W/F200W_88.jpg
282,2.0,17.0,11.0,0.0,11.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,10.0,0.0,2.0,0.0,10.0,1.0,64,/scratch/ydong/stamps/demo_F200W/F200W_64.jpg
283,28.0,3.0,6.0,0.0,3.0,0.0,3.0,25.0,0.0,0.0,3.0,5.0,12.0,8.0,25.0,0.0,6.0,16.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12.0,2.0,4.0,0.0,5.0,22.0,5.0,23.0,0.0,6.0,0.0,63,/scratch/ydong/stamps/demo_F200W/F200W_63.jpg
284,9.0,19.0,2.0,17.0,2.0,0.0,6.0,3.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,3.0,6.0,12.0,3.0,6.0,0.0,2.0,0.0,61,/scratch/ydong/stamps/demo_F200W/F200W_61.jpg
288,12.0,10.0,8.0,0.0,6.0,4.0,0.0,12.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,3.0,8.0,1.0,10.0,3.0,9.0,3.0,0.0,8.0,0.0,68,/scratch/ydong/stamps/demo_F200W/F200W_68.jpg
291,4.0,5.0,13.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,5.0,3.0,1.0,2.0,11.0,0.0,75,/scratch/ydong/stamps/demo_F200W/F200W_75.jpg
292,2.0,5.0,12.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,74,/scratch/ydong/stamps/demo_F200W/F200W_74.jpg
293,20.0,2.0,2.0,0.0,0.0,2.0,1.0,19.0,0.0,0.0,1.0,15.0,1.0,3.0,12.0,7.0,8.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,2.0,1.0,14.0,0.0,3.0,1.0,9.0,1.0,4.0,8.0,18.0,2.0,0.0,1.0,1.0,91,/scratch/ydong/stamps/demo_F200W/F200W_91.jpg
295,33.0,3.0,4.0,0.0,1.0,2.0,0.0,33.0,0.0,0.0,0.0,28.0,1.0,4.0,16.0,17.0,6.0,8.0,2.0,5.0,8.0,1.0,0.0,0.0,2.0,1.0,19.0,4.0,7.0,2.0,7.0,4.0,8.0,17.0,28.0,5.0,0.0,4.0,0.0,90,/scratch/ydong/stamps/demo_F200W/F200W_90.jpg
296,7.0,9.0,7.0,4.0,5.0,0.0,1.0,6.0,0.0,0.0,1.0,4.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,11.0,4.0,0.0,7.0,0.0,6.0,1.0,79,/scratch/ydong/stamps/demo_F200W/F200W_79.jpg
297,5.0,22.0,6.0,13.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,8.0,19.0,1.0,4.0,0.0,6.0,0.0,78,/scratch/ydong/stamps/demo_F200W/F200W_78.jpg
